,subject,score,display,question,dimension,question_number,qdirection,item
3,sub001,1.0,chs,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
9,sub001,0.0,chs,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
15,sub001,2.0,chs,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
21,sub001,3.0,chs,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
27,sub001,1.0,chs,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
33,sub001,0.0,chs,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
39,sub001,3.0,chs,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
45,sub001,1.0,chs,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
51,sub001,0.0,chs,# I clean my location log info.,hiding,q21,forward,hiding_q21
63,sub001,0.0,chs,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
69,sub001,0.0,chs,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
75,sub001,4.0,chs,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
93,sub001,0.0,chs,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
99,sub001,3.0,chs,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
105,sub001,4.0,chs,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
111,sub001,0.0,chs,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
117,sub001,3.0,chs,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
123,sub001,0.0,chs,# I use a password manager.,blocking,q07,forward,blocking_q07
129,sub001,1.0,chs,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
135,sub001,1.0,chs,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
141,sub001,3.0,chs,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
147,sub001,1.0,chs,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
153,sub001,1.0,chs,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
159,sub001,1.0,chs,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
165,sub001,4.0,chs,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
171,sub001,1.0,chs,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
177,sub001,1.0,chs,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
183,sub001,3.0,chs,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
189,sub001,1.0,chs,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
195,sub001,3.0,chs,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
201,sub001,4.0,chs,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
207,sub001,1.0,chs,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
213,sub001,4.0,chs,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
219,sub001,3.0,chs,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
225,sub001,3.0,chs,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
231,sub001,3.0,chs,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
237,sub001,3.0,chs,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
243,sub001,1.0,chs,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
255,sub001,3.0,chs,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
