,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
e[0],0.058,0.483,-0.711,0.859,0.008,0.008,3442.0,2544.0,1.0
e[1],0.294,0.511,-0.561,1.112,0.009,0.007,3745.0,2792.0,1.0
e[2],0.279,0.499,-0.523,1.087,0.007,0.007,4513.0,2981.0,1.0
e[3],0.039,0.473,-0.714,0.837,0.007,0.007,4531.0,3120.0,1.0
e[4],0.551,0.547,-0.305,1.492,0.009,0.007,3833.0,2791.0,1.0
e[5],-0.34,0.425,-1.017,0.359,0.008,0.006,2792.0,2812.0,1.0
e[6],0.564,0.56,-0.318,1.523,0.008,0.008,4804.0,2665.0,1.0
e[7],-0.143,0.455,-0.865,0.632,0.008,0.007,3533.0,2540.0,1.0
e[8],0.295,0.509,-0.563,1.09,0.009,0.007,3339.0,2839.0,1.0
e[9],0.303,0.526,-0.498,1.209,0.009,0.008,4015.0,2694.0,1.0
e[10],0.559,0.566,-0.338,1.484,0.009,0.008,3880.0,2659.0,1.0
e[11],0.299,0.53,-0.585,1.155,0.009,0.008,3518.0,2362.0,1.0
e[12],1.313,0.67,0.134,2.329,0.011,0.009,4150.0,2470.0,1.0
e[13],-0.131,0.457,-0.875,0.598,0.008,0.007,3458.0,2836.0,1.0
e[14],0.313,0.532,-0.553,1.162,0.009,0.008,3561.0,2764.0,1.0
e[15],-0.152,0.447,-0.862,0.606,0.008,0.007,3277.0,2793.0,1.0
e[16],-0.132,0.455,-0.875,0.582,0.009,0.007,2807.0,2300.0,1.0
e[17],1.314,0.676,0.253,2.461,0.01,0.008,4286.0,2731.0,1.0
e[18],-0.734,0.385,-1.33,-0.077,0.008,0.005,2555.0,2938.0,1.0
e[19],0.563,0.575,-0.327,1.527,0.009,0.008,4064.0,2386.0,1.0
e[20],-0.742,0.377,-1.344,-0.123,0.007,0.005,2662.0,2770.0,1.0
e[21],0.051,0.481,-0.637,0.92,0.008,0.008,3718.0,2617.0,1.0
e[22],0.063,0.479,-0.715,0.834,0.008,0.008,3705.0,2338.0,1.0
e[23],-0.616,0.374,-1.212,0.013,0.007,0.005,3167.0,2936.0,1.0
e[24],0.569,0.566,-0.37,1.447,0.01,0.009,3311.0,2180.0,1.0
e[25],-0.488,0.403,-1.153,0.161,0.007,0.005,2973.0,2665.0,1.0
e[26],0.279,0.511,-0.565,1.079,0.008,0.007,3963.0,2987.0,1.0
e[27],0.895,0.629,-0.109,1.908,0.01,0.008,4505.0,2831.0,1.0
e[28],0.563,0.564,-0.374,1.482,0.01,0.008,3366.0,2287.0,1.0
e[29],0.569,0.567,-0.375,1.486,0.008,0.008,4872.0,2827.0,1.0
e[30],0.282,0.511,-0.578,1.102,0.008,0.008,3881.0,2576.0,1.0
e[31],-0.14,0.447,-0.844,0.6,0.009,0.007,2624.0,2389.0,1.0
e[32],0.553,0.547,-0.365,1.41,0.009,0.008,3573.0,2478.0,1.0
e[33],0.051,0.49,-0.72,0.864,0.009,0.008,3347.0,2594.0,1.0
e[34],0.896,0.625,-0.158,1.891,0.01,0.008,4084.0,2793.0,1.0
e[35],-0.15,0.452,-0.897,0.565,0.008,0.007,3330.0,2656.0,1.0
e[36],0.298,0.515,-0.636,1.069,0.008,0.008,3791.0,2838.0,1.0
e[37],-0.141,0.453,-0.85,0.635,0.008,0.007,3431.0,2707.0,1.0
e[38],-0.145,0.462,-0.865,0.654,0.008,0.007,3318.0,2813.0,1.0
e[39],-0.142,0.451,-0.9,0.573,0.008,0.007,3076.0,2344.0,1.0
e[40],0.063,0.472,-0.664,0.836,0.009,0.007,2844.0,2724.0,1.0
e[41],0.043,0.478,-0.721,0.827,0.008,0.007,3614.0,2770.0,1.0
e[42],0.04,0.479,-0.752,0.804,0.008,0.008,3772.0,2505.0,1.0
e[43],0.286,0.518,-0.547,1.138,0.008,0.008,4374.0,2682.0,1.0
c[0],-4.809,0.208,-5.112,-4.445,0.006,0.004,1244.0,1905.0,1.0
c[1],-3.51,0.169,-3.774,-3.227,0.005,0.004,1066.0,1735.0,1.01
