,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
psi[0],-0.4849,0.175,-0.7603,-0.1817,0.0023,0.0016,5992.9606,5493.5131,1.0006
psi[1],0.5946,0.1661,0.3158,0.8589,0.002,0.0015,6687.5822,5641.8228,1.0003
psi[2],-0.0505,0.1616,-0.3259,0.2119,0.0019,0.0018,7508.0216,6007.5111,1.0002
psi[3],-0.5329,0.1764,-0.8228,-0.2445,0.0022,0.0016,6420.7316,5534.017,1.0013
psi[4],0.0741,0.1586,-0.1849,0.3338,0.002,0.0017,6383.6743,6122.3467,1.0
psi[5],-1.6097,0.2023,-1.9466,-1.2804,0.0025,0.0018,6435.7985,5522.5507,1.0007
psi[6],-0.0736,0.156,-0.3266,0.1851,0.002,0.0016,6135.5814,5694.8553,1.0001
psi[7],0.4014,0.199,0.0792,0.7345,0.0022,0.0017,8371.3584,5800.7331,1.0001
psi[8],-0.0187,0.1455,-0.269,0.2114,0.0019,0.0016,6121.3033,5648.7162,1.0004
psi[9],-0.3082,0.1657,-0.5805,-0.0386,0.0021,0.0015,6465.1832,5506.7964,1.0001
psi[10],0.8396,0.1697,0.5531,1.1096,0.0023,0.0016,5666.7206,5646.5486,0.9999
psi[11],0.0797,0.1807,-0.2135,0.3778,0.0024,0.0018,5767.0788,5642.0604,1.0006
psi[12],1.0877,0.1849,0.7919,1.3962,0.0023,0.0016,6476.024,4878.8338,1.0001
psi[13],0.0615,0.1553,-0.1905,0.3128,0.0019,0.0017,6743.4869,5674.7036,1.0006
psi[14],-0.5337,0.1707,-0.8007,-0.2435,0.0022,0.0016,5765.2257,6197.5561,1.0005
psi[15],-1.0518,0.1689,-1.3354,-0.7812,0.0021,0.0015,6661.0792,5938.5332,1.0007
psi[16],-1.2063,0.1848,-1.5089,-0.9088,0.0021,0.0016,7454.3023,5027.188,1.0008
psi[17],-0.3211,0.1818,-0.6292,-0.0364,0.0021,0.0016,7738.2935,5412.3216,1.0009
psi[18],-0.0051,0.1591,-0.2703,0.2509,0.0018,0.0018,7406.1195,5951.0728,0.9999
psi[19],-0.3733,0.1655,-0.6566,-0.1188,0.0021,0.0016,5967.6757,5209.1355,1.0005
psi[20],1.4073,0.2035,1.0731,1.7401,0.0028,0.002,5194.5308,5260.8128,1.0014
psi[21],-0.1417,0.163,-0.3975,0.135,0.0021,0.0016,5971.3047,5208.759,1.0005
psi[22],-0.2422,0.1566,-0.5044,0.0084,0.0019,0.0014,6603.1563,5103.8798,1.0013
psi[23],0.319,0.1727,0.0295,0.5972,0.0022,0.0016,6159.1481,5253.9162,1.0005
psi[24],0.4531,0.1662,0.1691,0.7126,0.002,0.0015,6558.416,5384.2136,1.0
psi[25],0.7647,0.1669,0.4724,1.0214,0.0021,0.0015,6452.9793,6034.7064,1.0004
psi[26],0.9335,0.1813,0.6314,1.2266,0.0026,0.0018,4978.023,5736.0317,1.0007
psi[27],-1.3801,0.1842,-1.6679,-1.0641,0.0026,0.0018,5219.8245,5337.3867,1.0008
psi[28],-0.0815,0.1612,-0.3489,0.1795,0.0021,0.0016,6062.0077,5967.5432,1.0
psi[29],0.5549,0.1601,0.2809,0.8115,0.0021,0.0015,5833.5723,5970.0353,1.0005
psi[30],-0.6089,0.1621,-0.8726,-0.3402,0.002,0.0015,6341.2006,5660.922,1.0004
psi[31],-0.4909,0.1641,-0.7481,-0.2128,0.002,0.0015,6709.9985,5937.134,1.0003
psi[32],-0.1371,0.1675,-0.4136,0.1374,0.0019,0.0018,7382.7355,5343.5641,1.0004
psi[33],-0.2247,0.1737,-0.5039,0.0689,0.0021,0.0017,6576.2182,5717.6019,1.0003
psi[34],0.3701,0.1681,0.0963,0.6456,0.002,0.0015,6986.0928,5050.5177,1.0003
psi[35],0.0649,0.1512,-0.1901,0.3108,0.0018,0.0016,6930.527,5597.186,1.0012
psi[36],-0.242,0.1801,-0.5461,0.0474,0.0024,0.0018,5540.6411,6033.2104,1.0008
psi[37],-0.5166,0.1577,-0.7861,-0.2694,0.0019,0.0014,7274.9499,5583.854,1.0002
psi[38],-0.7753,0.1631,-1.0335,-0.5053,0.0022,0.0016,5466.8331,5441.8178,1.0
psi[39],1.1345,0.1841,0.8267,1.4286,0.0024,0.0017,6169.5495,4869.663,1.0015
psi[40],-0.4463,0.1684,-0.7242,-0.1715,0.0021,0.0016,6324.964,5623.068,1.0003
psi[41],0.6185,0.172,0.3267,0.889,0.0023,0.0016,5604.8878,5695.0416,1.0006
psi[42],-0.0112,0.1606,-0.2657,0.2609,0.0019,0.0019,6905.159,5866.635,1.0004
psi[43],0.1332,0.1525,-0.1072,0.3901,0.002,0.0016,6039.6152,5056.9274,1.0012
psi[44],0.214,0.1612,-0.0581,0.4795,0.002,0.0016,6326.3971,5203.2784,1.0002
psi[45],0.6498,0.1825,0.3509,0.9496,0.0023,0.0016,6173.0604,5617.6314,1.0003
psi[46],0.4468,0.1562,0.1977,0.7084,0.002,0.0015,6009.2422,5654.2523,1.0003
psi[47],-0.5198,0.1736,-0.8157,-0.2454,0.0023,0.0017,5610.7768,4863.1932,1.001
psi[48],0.3682,0.1784,0.0725,0.6518,0.0021,0.0016,7578.5932,5520.7889,1.0
psi[49],0.486,0.1669,0.2145,0.7624,0.0023,0.0017,5069.3283,4993.2194,1.0001
psi[50],-0.9743,0.1846,-1.2676,-0.6657,0.0025,0.0018,5603.5323,5780.9321,1.0015
psi[51],-0.2732,0.1621,-0.5478,-0.0114,0.002,0.0015,6615.9905,6060.671,1.0006
psi[52],0.4027,0.1581,0.143,0.6647,0.0019,0.0015,7009.3564,4498.0287,1.0007
psi[53],-0.5888,0.1624,-0.8627,-0.3289,0.002,0.0015,6502.4902,5459.6333,1.0001
psi[54],0.0797,0.1585,-0.1763,0.3475,0.0021,0.0017,5902.1621,5688.3127,0.9999
psi[55],0.4875,0.1608,0.2379,0.7673,0.0022,0.0016,5430.1094,5712.6887,1.0008
psi[56],-0.0317,0.1886,-0.3278,0.2913,0.0021,0.0022,7788.0525,5453.0669,1.0
psi[57],-0.0472,0.1604,-0.3098,0.2112,0.0019,0.0018,6961.7008,5863.2345,1.0001
psi[58],-0.4513,0.1614,-0.6994,-0.1741,0.002,0.0015,6222.9254,5779.106,1.0007
psi[59],-0.4461,0.1687,-0.7275,-0.1727,0.0024,0.0017,5157.2492,4965.4671,1.0014
psi[60],-0.8928,0.171,-1.1717,-0.6088,0.002,0.0014,7541.8339,5793.6905,1.0004
psi[61],-0.2558,0.1568,-0.5103,-0.0009,0.0019,0.0014,6647.3577,5481.2359,1.0
psi[62],-0.6625,0.1628,-0.9334,-0.3979,0.002,0.0015,6441.3197,5913.8439,1.0005
psi[63],0.2286,0.1615,-0.0374,0.4906,0.002,0.0016,6390.8931,5264.4459,1.0005
psi[64],-0.5571,0.1887,-0.863,-0.2499,0.0021,0.0015,7808.9465,5843.3759,1.0012
psi[65],0.1219,0.1502,-0.1249,0.3678,0.0019,0.0015,6498.635,5580.2357,1.0011
psi[66],-0.5257,0.1783,-0.8169,-0.2294,0.0024,0.0018,5348.0128,5620.9068,1.0003
psi[67],0.6208,0.1685,0.3463,0.8983,0.0022,0.0016,5813.587,4910.6325,1.0001
psi[68],0.3197,0.1813,0.0276,0.6247,0.0022,0.0016,6847.4269,4998.8251,0.9998
psi[69],0.1038,0.1602,-0.1595,0.3646,0.0021,0.0016,6072.6318,5100.931,1.0001
psi[70],0.047,0.1625,-0.2152,0.3146,0.002,0.0019,6644.106,5629.9915,1.0011
psi[71],0.2883,0.1628,0.0185,0.548,0.002,0.0015,6523.9468,5612.4781,1.0
psi[72],0.4336,0.1698,0.1518,0.7108,0.002,0.0015,7480.0777,5799.7856,1.0015
psi[73],-0.6914,0.1582,-0.9479,-0.428,0.002,0.0014,6524.2396,5486.9474,1.0002
psi[74],-0.5226,0.1887,-0.8429,-0.223,0.0024,0.0017,6173.0668,5588.9626,1.0002
psi[75],-0.7238,0.1814,-1.0239,-0.4292,0.0024,0.0017,5832.3074,4729.8519,1.0006
psi[76],-0.0048,0.1544,-0.2474,0.2612,0.002,0.0017,6258.2382,5653.7416,1.0008
psi[77],-0.1478,0.1616,-0.4219,0.1155,0.0019,0.0016,7281.0926,5751.6796,1.0006
psi[78],0.8665,0.1713,0.5846,1.1441,0.0023,0.0016,5461.7263,4543.1075,1.0003
