,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
e[0],0.598,0.818,-0.731,1.936,0.01,0.011,6650.0,2901.0,1.0
e[1],-2.057,0.423,-2.765,-1.399,0.006,0.004,4848.0,3077.0,1.0
e[2],0.615,0.83,-0.758,1.952,0.012,0.012,4985.0,2656.0,1.0
e[3],-0.013,0.716,-1.301,1.053,0.01,0.012,5213.0,2649.0,1.01
e[4],0.607,0.815,-0.711,1.96,0.013,0.012,4167.0,2652.0,1.0
e[5],-1.181,0.544,-2.051,-0.289,0.008,0.006,4562.0,2772.0,1.0
e[6],-0.003,0.733,-1.143,1.232,0.012,0.012,4039.0,2608.0,1.0
e[7],0.006,0.746,-1.212,1.201,0.012,0.013,3779.0,2440.0,1.0
e[8],0.606,0.787,-0.772,1.761,0.011,0.01,5231.0,3269.0,1.0
e[9],0.587,0.823,-0.79,1.912,0.012,0.011,4719.0,3018.0,1.0
e[10],0.007,0.748,-1.214,1.168,0.012,0.013,4447.0,2532.0,1.0
e[11],-0.009,0.74,-1.21,1.203,0.011,0.012,4841.0,2945.0,1.0
e[12],0.599,0.806,-0.791,1.799,0.011,0.011,5465.0,2670.0,1.0
e[13],0.589,0.805,-0.727,1.844,0.012,0.013,5026.0,2303.0,1.0
e[14],0.575,0.795,-0.724,1.911,0.011,0.011,5579.0,3166.0,1.0
e[15],-0.486,0.65,-1.584,0.536,0.009,0.008,5385.0,2834.0,1.0
e[16],-0.007,0.711,-1.149,1.145,0.011,0.011,4736.0,2934.0,1.0
e[17],0.608,0.817,-0.674,1.966,0.013,0.012,3839.0,2545.0,1.0
e[18],0.0,0.726,-1.25,1.107,0.011,0.012,4581.0,2644.0,1.0
e[19],0.585,0.806,-0.773,1.841,0.013,0.011,4195.0,2939.0,1.0
e[20],0.609,0.826,-0.733,1.944,0.013,0.012,4400.0,2607.0,1.0
e[21],0.578,0.829,-0.784,1.884,0.013,0.011,4479.0,3191.0,1.0
e[22],0.593,0.791,-0.676,1.911,0.013,0.011,3947.0,2674.0,1.0
e[23],0.564,0.81,-0.752,1.898,0.011,0.011,5558.0,2906.0,1.0
e[24],-0.471,0.666,-1.527,0.621,0.009,0.009,5164.0,2632.0,1.0
e[25],0.588,0.805,-0.766,1.853,0.011,0.012,5678.0,3248.0,1.0
e[26],0.597,0.814,-0.772,1.873,0.012,0.012,4918.0,2630.0,1.0
e[27],-0.486,0.645,-1.538,0.551,0.01,0.008,4356.0,2277.0,1.0
e[28],0.597,0.827,-0.892,1.842,0.012,0.012,4843.0,2799.0,1.0
e[29],0.58,0.821,-0.796,1.846,0.012,0.011,4902.0,2925.0,1.0
e[30],0.016,0.739,-1.152,1.261,0.01,0.013,5134.0,2526.0,1.0
e[31],-0.469,0.678,-1.556,0.657,0.01,0.009,4980.0,2687.0,1.0
e[32],0.582,0.796,-0.747,1.865,0.011,0.011,4919.0,2837.0,1.0
e[33],0.59,0.797,-0.686,1.948,0.011,0.011,5180.0,2922.0,1.0
e[34],0.577,0.821,-0.74,1.951,0.014,0.012,3698.0,2648.0,1.0
e[35],0.584,0.81,-0.8,1.819,0.012,0.011,5035.0,2791.0,1.0
e[36],0.594,0.823,-0.722,2.014,0.013,0.012,4395.0,2668.0,1.0
e[37],0.599,0.814,-0.801,1.848,0.012,0.012,4661.0,2722.0,1.0
e[38],-0.011,0.746,-1.236,1.199,0.011,0.013,4897.0,2678.0,1.0
e[39],0.619,0.826,-0.691,2.037,0.012,0.013,4653.0,2353.0,1.0
e[40],0.585,0.816,-0.793,1.897,0.012,0.013,4688.0,2541.0,1.0
e[41],0.605,0.815,-0.569,2.105,0.012,0.01,4558.0,3190.0,1.0
e[42],-0.004,0.743,-1.257,1.177,0.011,0.012,4938.0,2981.0,1.0
e[43],-0.012,0.728,-1.177,1.194,0.011,0.012,4591.0,2711.0,1.0
e[44],0.58,0.809,-0.684,1.937,0.013,0.011,3992.0,2746.0,1.0
e[45],0.597,0.801,-0.7,1.915,0.011,0.011,5060.0,2728.0,1.0
e[46],0.579,0.835,-0.837,1.883,0.012,0.011,5237.0,2285.0,1.0
e[47],0.595,0.807,-0.726,1.929,0.012,0.012,4587.0,2638.0,1.0
e[48],0.591,0.807,-0.757,1.875,0.012,0.011,4882.0,3172.0,1.0
e[49],0.593,0.823,-0.806,1.851,0.011,0.011,5460.0,2987.0,1.0
e[50],-0.908,0.604,-1.872,0.061,0.01,0.007,4038.0,2512.0,1.0
e[51],-2.277,0.407,-2.941,-1.641,0.006,0.004,4321.0,2632.0,1.0
e[52],0.591,0.831,-0.78,1.906,0.011,0.012,5623.0,2715.0,1.0
e[53],0.608,0.813,-0.74,1.919,0.011,0.011,5610.0,2765.0,1.0
e[54],0.023,0.764,-1.251,1.244,0.011,0.014,5481.0,2548.0,1.0
e[55],-0.502,0.64,-1.567,0.494,0.009,0.008,5296.0,2677.0,1.0
e[56],0.585,0.831,-0.739,1.95,0.013,0.012,4395.0,2724.0,1.0
e[57],0.013,0.731,-1.205,1.196,0.011,0.012,4295.0,2389.0,1.0
e[58],-0.878,0.608,-1.862,0.126,0.009,0.007,4684.0,2787.0,1.0
